app,target,model,feature,shap_value,shap_abs,is_operational,baseline_prediction
f1,stickiness,Ridge,median_session_duration,-0.000269,0.000269,True,0.063034
f1,stickiness,Ridge,dau_growth_rate_7d,-0.031082,0.031082,False,0.063034
f1,stickiness,Ridge,retention_trend,-0.001087,0.001087,False,0.063034
f1,stickiness,Ridge,crash_rate,0.002504,0.002504,True,0.063034
f1,stickiness,Ridge,onboarding_completion_rate,-0.001275,0.001275,True,0.063034
f1,stickiness,Ridge,target_lag1,-0.004927,0.004927,False,0.063034
f1,stickiness,Ridge,target_lag7,-0.012085,0.012085,False,0.063034
f1,dau,RandomForest,dau_growth_rate,-21.673395,21.673395,False,130.04
f1,dau,RandomForest,dau_growth_rate_7d,-115.425371,115.425371,False,130.04
f1,dau,RandomForest,crash_rate,-3.003561,3.003561,True,130.04
f1,dau,RandomForest,onboarding_completion_rate,-1.927345,1.927345,True,130.04
f1,dau,RandomForest,median_session_duration,0.145258,0.145258,True,130.04
f1,dau,RandomForest,target_lag1,-6.775603,6.775603,False,130.04
f1,dau,RandomForest,target_lag7,0.849142,0.849142,False,130.04
f1,retention_d7,LocalLinear,retention_trend,-0.038419,0.038419,False,0.0362
f1,retention_d7,LocalLinear,dau_growth_rate,0.019764,0.019764,False,0.0362
f1,retention_d7,LocalLinear,onboarding_completion_rate,-0.009047,0.009047,True,0.0362
f1,retention_d7,LocalLinear,crash_rate,-0.003603,0.003603,True,0.0362
f1,retention_d7,LocalLinear,median_session_duration,0.000556,0.000556,True,0.0362
f1,retention_d7,LocalLinear,target_lag1,-0.001837,0.001837,False,0.0362
f1,retention_d7,LocalLinear,target_lag7,-0.011524,0.011524,False,0.0362
f2,stickiness,Ridge,avg_session_duration_ma7,0.007214,0.007214,True,0.1825
f2,stickiness,Ridge,seasonality_change,0.04063,0.04063,False,0.1825
f2,stickiness,Ridge,onboarding_completion_rate,0.002521,0.002521,True,0.1825
f2,stickiness,Ridge,crash_rate,-0.000522,0.000522,True,0.1825
f2,stickiness,Ridge,crash_rate_ma7,0.000801,0.000801,True,0.1825
f2,stickiness,Ridge,avg_session_duration,0.008316,0.008316,True,0.1825
f2,stickiness,Ridge,median_session_duration,0.002165,0.002165,True,0.1825
f2,stickiness,Ridge,target_lag1,0.01824,0.01824,False,0.1825
f2,stickiness,Ridge,target_lag7,-0.002362,0.002362,False,0.1825
f2,dau,NadarayaWatson,seasonality_change,10.246283,10.246283,False,308.841024
f2,dau,NadarayaWatson,avg_session_duration_ma7,14.357825,14.357825,True,308.841024
f2,dau,NadarayaWatson,dau_growth_rate_7d,-6.856525,6.856525,False,308.841024
f2,dau,NadarayaWatson,crash_rate,-0.345099,0.345099,True,308.841024
f2,dau,NadarayaWatson,crash_rate_ma7,2.191673,2.191673,True,308.841024
f2,dau,NadarayaWatson,onboarding_completion_rate,9.086528,9.086528,True,308.841024
f2,dau,NadarayaWatson,avg_session_duration,28.728271,28.728271,True,308.841024
f2,dau,NadarayaWatson,median_session_duration,14.286109,14.286109,True,308.841024
f2,dau,NadarayaWatson,target_lag1,4.992041,4.992041,False,308.841024
f2,dau,NadarayaWatson,target_lag7,-2.891754,2.891754,False,308.841024
f2,retention_d7,NadarayaWatson,retention_trend,-0.0303,0.0303,False,0.080334
f2,retention_d7,NadarayaWatson,peak_hour,0.001183,0.001183,False,0.080334
f2,retention_d7,NadarayaWatson,avg_session_duration,-0.005322,0.005322,True,0.080334
f2,retention_d7,NadarayaWatson,crash_rate,-0.004193,0.004193,True,0.080334
f2,retention_d7,NadarayaWatson,onboarding_completion_rate,-0.011164,0.011164,True,0.080334
f2,retention_d7,NadarayaWatson,target_lag1,0.003342,0.003342,False,0.080334
f2,retention_d7,NadarayaWatson,target_lag7,-0.000423,0.000423,False,0.080334
